Uke,2020,2021,2022
1,36,5850,15412
2,76,3790,17881
3,61,2914,25509
4,93,3192,27271
5,98,2663,25925
6,96,2635,29074
7,92,2759,29611
8,98,2936,34405
9,342,4011,28336
10,1867,5039,22219
11,17692,5068,15884
12,20884,4482,11116
13,6558,2111,7611
14,4178,3973,*
15,1371,3145,*
16,2289,2929,*
17,1988,2565,*
18,1655,3114,*
19,1506,2156,*
20,1182,2830,*
21,791,2317,*
22,836,2210,*
23,651,1444,*
24,1082,1860,*
25,1167,1625,*
26,1106,1687,*
27,1155,1487,*
28,1259,1241,*
29,1054,1556,*
30,1007,1918,*
31,1355,2124,*
32,2003,2257,*
33,3001,2504,*
34,3599,3441,*
35,3784,4084,*
36,4227,3569,*
37,3931,2837,*
38,3646,2373,*
39,3236,1674,*
40,2883,1588,*
41,2814,1523,*
42,2935,1857,*
43,3247,2448,*
44,4350,3085,*
45,6163,3624,*
46,5483,4388,*
47,4838,5293,*
48,3779,7433,*
49,3679,10114,*
50,3533,10123,*
51,3418,5897,*
52,2164,6333,*
53,2383,*,*
